latitude,longitude,price,room_type,address
35.71707,139.82608,11000.0,Entire home apt,"4 Chome-7 Higashinippori, Arakawa City, Tokyo 116-0014, Japan"
35.73844,139.76917,7208.0,Private room,"1-chōme-26-7 Tabatashinmachi, Kita City, Tokyo 114-0012, Japan"
35.68374,139.85971,7847.0,Entire home apt,"Japan, 〒134-0091 Tokyo, Edogawa City, Funabori, 2-chōme−11−１４ Ｋ－２"
35.67878,139.67847,23066.0,Entire home apt,"2-chōme-1-2-1 Hatagaya, Shibuya City, Tokyo 151-0072, Japan"
35.72672,139.78201,2871.0,Entire home apt,"2-chōme-27-16 Yahiro, Sumida City, Tokyo 131-0041, Japan"
35.658,139.67134,16000.0,Private room,"1-2 Senjumiyamotochō, Adachi City, Tokyo 120-0043, Japan"
35.58911,139.48023,4814.0,Entire home apt,"Japan, 〒155-0032 Tokyo, Setagaya City, Daizawa, 2-chōme−16, 池ノ上フラット"
35.744730998785165,139.79738412263163,10000.0,Private room,"Japan, 〒195-0053 Tokyo, Machida, Nōgaya, 6-chōme−5−１６ ヴィラ・シエロ"
35.72784292965493,139.73408415595273,31229.0,Entire home apt,"Japan, 〒170-0005 Tokyo, Toshima City, Minamiōtsuka, 1-chōme−14−１２ 東京エージェント大塚ビル"
35.65111,139.72165,54782.0,Entire home apt,"5-chōme-4-20 Hiroo, Shibuya City, Tokyo 150-0012, Japan"
35.68358,139.85985,7538.0,Entire home apt,"2-chōme-11-16 Funabori, Edogawa City, Tokyo 134-0091, Japan"
35.67205,139.67877,32714.0,Entire home apt,"3-chōme-43-15 Nishihara, Shibuya City, Tokyo 151-0066, Japan"
35.60742,139.67616,7571.0,Private room,"2-chōme-46-14 Okusawa, Setagaya City, Tokyo 158-0083, Japan"
35.73987,139.85176,16000.0,Entire home apt,"2-2 Tsukudochō, Shinjuku City, Tokyo 162-0821, Japan"
35.70263,139.74147,39143.0,Entire home apt,"8-chōme-14-18 Tateishi, Katsushika City, Tokyo 124-0012, Japan"
35.76105,139.716,8714.0,Entire home apt,"Japan, 〒114-0034 Tokyo, Kita City, Kamijūjō, 3-chōme−11−１ 三陽マンション"
35.62942,139.63077,14416.0,Private room,"4-chōme-35-17 Yōga, Setagaya City, Tokyo 158-0097, Japan"
35.62039,139.69983,29286.0,Entire home apt,"Japan, 〒152-0002 Tokyo, Meguro City, Megurohonchō, 5-chōme−19−６ セザール武蔵小山"
35.69847,139.70432,6551.0,Private room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.7362,139.85178,15257.0,Entire home apt,"4-chōme-37-13 Higashitateishi, Katsushika City, Tokyo 124-0013, Japan"
35.70293,139.60045,7964.0,Entire home apt,"Japan, 〒167-0053 Tokyo, Suginami City, Nishiogiminami, 3-chōme−8−１０ 中根ビル"
35.69857,139.704,7980.0,Private room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70432,7980.0,Private room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−３ 大東ビル １階"
35.68245,139.69009,23124.0,Entire home apt,"Japan, 〒151-0053 Tokyo, Shibuya City, Yoyogi, 4-chōme−29−２ 代々木ウエスト"
35.69847,139.70433,5980.0,Shared room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.70679,139.6551,12000.0,Entire home apt,"1-chōme-4-11 Kōenjikita, Suginami City, Tokyo 166-0002, Japan"
35.69848,139.70433,5980.0,Shared room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.70686,139.65543,12000.0,Entire home apt,"1-chōme-7-5 Kōenjikita, Suginami City, Tokyo 166-0002, Japan"
35.65897,139.60988,3300.0,Private room,"1-chōme-10-1 Kasuya, Setagaya City, Tokyo 157-0063, Japan"
35.70399,139.59775,14857.0,Entire home apt,"Japan, 〒167-0042 Tokyo, Suginami City, Nishiogikita, 3-chōme−5−６ 三周ハイツ"
35.65933,139.60847,3300.0,Private room,"Japan, 〒157-0063 Tokyo, Setagaya City, Kasuya, 3-chōme−1−２６ 田中コーポ"
35.64966,139.72181,46143.0,Entire home apt,"Japan, 〒150-0012 Tokyo, Shibuya City, Hiroo, 5-chōme−11−１４ 博聖ビル"
35.73784,139.85201,35343.0,Entire home apt,"Japan, 〒124-0012 Tokyo, Katsushika City, Tateishi, 8-chōme−7−４ 福寿コーポ壱番館"
35.58958,139.72636,75000.0,Entire home apt,"2-chōme-7-23 Sannō, Ota City, Tokyo 143-0023, Japan"
35.76577,139.44678,43249.0,Entire home apt,"Japan, 〒189-0026 Tokyo, Higashimurayama, Tamakochō, 4-chōme−１４−１３"
35.61794,139.72313,5000.0,Private room,"3-chōme-19-4 Ōsaki, Shinagawa City, Tokyo 141-0032, Japan"
35.67813,139.67913,15858.0,Entire home apt,"3-chōme-24-18 Tsurumaki, Setagaya City, Tokyo 154-0016, Japan"
35.60033,139.73415,3589.0,Private room,"4-chōme-20-1 Ōi, Shinagawa City, Tokyo 140-0014, Japan"
35.63858,139.64624,33000.0,Entire home apt,"2-chōme-1-1 Hatagaya, Shibuya City, Tokyo 151-0072, Japan"
35.62633,139.7235,30000.0,Entire home apt,"２丁目-5-1-704 Nishigotanda, Shinagawa City, Tokyo 141-0031, Japan"
35.67191,139.68367,35000.0,Private room,"42-3 Motoyoyogichō, Shibuya City, Tokyo 151-0062, Japan"
35.69847,139.70433,5980.0,Shared room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.71431,139.79885,38571.0,Entire home apt,"Japan, 〒111-0033 Tokyo, Taito City, Hanakawado, 2-chōme−6−５ 東京都立産業貿易センター台東館 8階"
35.69848,139.70433,5980.0,Shared room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.73417,139.63328,10091.0,Entire home apt,"3-chōme-13-1 Kamisaginomiya, Nakano City, Tokyo 165-0031, Japan"
35.6806,139.81931,10571.0,Entire home apt,"9-17 Umibe, Koto City, Tokyo 135-0012, Japan"
35.69848,139.70435,5980.0,Shared room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.70919,139.48074,4964.0,Private room,"Japan, 〒169-0072 Tokyo, Shinjuku City, Ōkubo, 1-chōme−11−１ ŌMORI BLD"
35.69848,139.70433,5980.0,Shared room,"3-chōme-8-13 Honda, Kokubunji, Tokyo 185-0011, Japan"
35.70399,139.59775,16071.0,Entire home apt,"Japan, 〒167-0042 Tokyo, Suginami City, Nishiogikita, 3-chōme−5−６ 三周ハイツ"
35.70561,139.37975,4600.0,Entire home apt,"4-chōme-9-3 Tamagawachō, Akishima, Tokyo 196-0034, Japan"
35.70399,139.59775,18071.0,Entire home apt,"Japan, 〒167-0042 Tokyo, Suginami City, Nishiogikita, 3-chōme−5−６ 三周ハイツ"
35.72035,139.76445,9082.0,Private room,"2-chōme-32-2 Nezu, Bunkyo City, Tokyo 113-0031, Japan"
35.75828,139.48037,4071.0,Private room,"1-chōme-24-2 Takenotsuka, Adachi City, Tokyo 121-0813, Japan"
35.76111,139.71576,10514.0,Entire home apt,"Japan, 〒189-0011 Tokyo, Higashimurayama, Ontachō, 4-chōme−３４−２"
35.79124,139.79102,12200.0,Entire home apt,"Japan, 〒114-0034 Tokyo, Kita City, Kamijūjō, 3-chōme−11−２ ドリームハウス２"
35.72208,139.78049,22243.0,Entire home apt,"Japan, 〒110-0003 Tokyo, Taito City, Negishi, 3-chōme−5, 平子ビル"
