id,latitude,longitude,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,comments
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,Tuan rumahnya baik rumah Dibersihkan setiap hari dan di beri ganti handuk bersih setiap hari Seputar lokasi banyak penjual makanan swalayan dan family mart Sangat direkomendasikan
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,出乎意料的干净整洁br周边设施也非常的齐全br地铁非常方便从地铁口走到住的地方就几f分钟的时间br房东也非常的热情周到最后怕我们不方便h还送我们去地铁站非常的nice
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,Our family of four stayed a week at the Pine House The hosts Koji Nami and Mr T were just fantastic Instructions and tips were detailed and thoughtful The property was beautifully designed and in tiptop condition There was daily housekeeping and fresh towels And the most friendly Mr T brought us delicious fresh apple juice frequently We also had a great yakitori dinner with him in a local restaurant That was how hospitable he was brMy family members have stayed in numerous airbnb properties in various countries but none could compare with KN and Mr T We would gladly give them a rating of 6 out of 5 All airbnb hosts should be like them
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,干净整洁两层住起来很方便位置离景点比较远是一个当地人的住宿区可以体验当地人的生活老板们都很热情
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,I loved staying with kn they were the most amazing and helpful hosts When we arrived at their beautiful house there was a welcome note They gave advice on all the places to eat near by and visited us once a day They gave us directions when we needed them when we checked out Mr T who had been so kind and helpful the whole trip gave us a ride to the local train station
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,The house is very clean and cozy which is the same with photo advised host is also helpful and nice even drive us to the subway station Just a bit far from central so will take some time if u want to go shopping to Ginza or shibuya or other places but also within one hour The infomation guide from host got everything needed also there is a direct train from the house to Haneda airport very convenientbrI will definately recommend this place if u want to experience the local life style here with your family
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,非常满意房东人也非常热情友好__
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,东京的地铁四通八达不过有点复杂第一天转了3个小时才搞清楚怎么坐房东也及时给了建议
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,The house is located in a lovely neibourhood with lots to explore around It was very suitable for a group of four like ours The space was neatly designed and very clean The host was also very friendly and welcoming We truly enjoy our experience living here and would definitely recommand this place to all my friends 
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,房子里京成立石站很近离浅草寺也很近房东真的超热情亲自去车站接我们还告诉我们最近有花火大会送了一瓶很好喝的果汁房子很干净每天都会来打扫和收垃圾附近有一条河晚上可以过去逛逛特别舒服房子住的很开心
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,在这里住了四晚非常难忘的经历房子所在的位置非常安静是远离闹市和喧嚣的居民区距离最近的地铁站步行5分钟房子周围也有不少超市好吃的居酒屋和东西齐全的药妆店br房子是装修和设计很精致的二层小楼一楼是床二楼是榻榻米住着非常舒服惬意我们也很享受厨房和小饭厅每天晚上在超市买点食材自己开火做吃的非常安逸步行十分钟的另一个地铁站旁边有大超市能买到很棒的生牛肉回来自己煎牛排的体验简直太棒了br谢谢接送我们和每天嘘寒问暖的小哥朴实热情心细下次如果是多人出行东京很大概率还会选择这里
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,A great atmospheric home to enjoy anytime of the year where both the venue and its host exceed all expectations with such expert facile the experience that came with it granted desire for a longer stayFor both my wife and I Mr T Is the proud owner of seven locations here in Tokyo and his hospitality personality and geniality is the embodiment of the Japanese way We were welcomed with a gift and several recommendations as to the restaurant locale He even invited us to join him at his favorite restaurant where we had the opportunity to eat like Japanese His knowledge of the area will set you on the right path to find what youre looking for as well as hidden gems you wont want to miss it will definitely make your experience a memorable one 
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,great
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,First time using air bnb and Made this process so simple and easy
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,和图片完全一致房东很热情还接送我们到附近的地铁站以及给我们带了苹果汁离地铁站也很近就是离东京市中心有点远很开心能在这边度过几天东京之旅
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,很热情的房东房子也很干净整洁车站下来就是一个市场吃东西也很方便不远的地方也有超级市场房东提供车站的接送服务很贴心大箱子拖着总归不方便值得推荐给朋友
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,We had a wonderful stay in the housing The residential area is very pleasant and exactly as described The apartment was very well furnished and very nice MrT was very friendly and always helped us We can only recommend it and would love to come back again
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,일단 도심이랑 멀어서 기본 1시간씩은 잡고 나가야한다는 점을 고려하시고 숙소가 정말 그리 크지 않고 12층을 오가는게 힘들다는 점이 있습니다 그리고 수건은 매일 갈아주시나 다른 청소는 따로 해준 것 같지는 않았습니다 그렇지만 체크인과 체크아웃 할 때 배려를 많이 해주셔서 좋았습니다
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,房子位於地鐵站附近要到淺草的話很方便房東很熱情還招待了我們一瓶蘋果醋也提供了很多東京旅遊的攻略很受用房間漂亮乾淨也很舒適是一個非常棒的居住經驗非常推薦
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,We absolutely enjoyed our stay at the place Mr T was very friendly offering us help and taking us to the local restaurant for dinner We chatted and laughed there seemed no language barrier If we were to return or our friends would ever visit Japan we would stay there again and highly recommend the place to our friends
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,Mr Ts house is very tidy and lovely loft and he treated us so well and drived us to the station if we needed Moreover you can enjoy his town which is very quiet and special local Tokyo We hope to stay again
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,This place is outstanding Very spacious by Japanese standards and well equipped It is in a quiet neighbourhood four stops and a five minute walk from the station to  Oshiage Skytree  which makes for very peaceful sleeping and a great experience to experience a local area The beds were made every day along with a clean up and fresh towels Mr T took us to a local restaurant on our last night and it was fantastic Thank you for the awesome stay
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,Highly recommended for accommodation in Tokyo Close to train station only 3 minutes walk  The house fits our expectations for Japanese style The house is also equipped with auto lights which is very cool  We really appreciate all the kindness of T the host for helping us have a wonderful stay in the house
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,Nos encanto hospedarnos aqui la casa es ideal para conocer un barrio mas local y tranquilo pero muy bien ubicado para explorar la cuidad cerca del metro la estacion esta llena de pequeños restaurantes y tiendas La casa en si es grande buena para una familia o dos parejas es comoda y limpia Regresaria a quedarme aqui
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,非常感谢房东在下雨天的夜晚当我们被困在地铁站时及时告诉我们更换路线并特意开车来接我们送到旅舍如果下次再来会优先选择住在这里
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,KarunbrThis has to be one of the best experience Ive had staying with Air BnB The house is very clean and organized There are English labels to indicate instructions every where in the house This makes it very easy to navigate MrT is a fantastic host He always check in on us daily to see if we need anything His apple juice is delicious brI mixed it with Sake brId recommend this place to anyone if you come to Tokyo  its a must  brNicolebrThis has to be the best experience I have had when using Airbnb Our host Mr T was very attentive to our needs and engaging while visiting us in the mornings He would ask about our plans for the day and help out how to get there There was an booking mistake that we lost a day but he arranged for us to stay an extra day at the Airbnb I really enjoyed his company when we went out to eat dinner with him fed us the best of the best in the local area while drinking some sake Definitely recommend him for bookingbrMichaelbrCant really think of what else I would want The host Mr T brought us drinks and fresh towels and also showed us the best local restaurant and its secret menu The house was quiet clean and close to the train station
1298200,35.73987,139.85176,4.93,4.95,4.96,4.97,4.97,4.75,4.89,雖然立石並非市中心但生活機能相當好附近有商店街超市便利商店車站等非常方便房間完全符合照片裡的樣子建議行李可以放樓下就好樓梯不是那麼好走若是提著行李廂上下樓有點危險但除此之外整個公寓都非常棒房東人很好提供了許多可以觀光的地點帶了蘋果汁給我們喝也詢問是否需要送我們到青砥車站轉搭直達機場的專線總得來說住在這裡的經驗很棒若還有機會去還是會想住在這
