listing_id,id,date,reviewer_id,reviewer_name,comments,kr_comments
3846001,461625962,2019-06-01,30085093,Katie,Great little apartment with everything you need. Great location close to koenji station.,필요한 모든 것을 갖춘 훌륭한 작은 아파트입니다. 고엔지역과 가까워서 위치가 좋습니다.
3846001,465467468,2019-06-08,258429513,Ronald,Nice and comfy.  Very helpful and accommodating.,좋고 편안합니다. 매우 도움이 되고 수용적입니다.
3846001,494734962,2019-07-25,107134231,Sarah,"This is a great little flat in a lovely quiey neighborhood to make base. It's conveniently located between the Koenji and Nakano stations,  and there are plenty of shops and restaurants to explore in the neighborhood. Manami left thoughtful notes and instructions to make our stay as seamless as possible and she was incredibly responsive. She also reached out to let us know when a neighboring building started some construction work and offered us options in case it would be a bother. She absolutely did not have to and her candor was very much appreciated! As the pictures show it is a small flat so something to take into consideration if you think you may need more space. This wasn't an issue for the two of us and we enjoyed our stay here.","이것은 기반을 마련하기에 아름답고 조용한 동네에 있는 아주 작은 아파트입니다. 고엔지역과 나카노역 사이에 편리하게 위치해 있으며, 인근에는 둘러볼 만한 상점과 레스토랑이 많이 있습니다. 마나미는 우리가 최대한 원활하게 숙박할 수 있도록 사려 깊은 메모와 지침을 남겼으며 그녀는 매우 신속하게 응답했습니다. 그녀는 또한 이웃 건물에서 공사가 시작되면 우리에게 연락해 알려 줬고, 방해가 될 경우를 대비해 우리에게 옵션을 제안했습니다. 그녀는 그럴 필요가 전혀 없었으며 그녀의 솔직함은 매우 높이 평가되었습니다! 사진에서 볼 수 있듯이 작은 아파트이므로 더 많은 공간이 필요하다고 생각되면 고려해야 할 사항입니다. 이것은 우리 둘에게는 문제가 아니었고 우리는 여기서 즐거운 시간을 보냈습니다."
3846001,511786807,2019-08-18,65889066,He,nice neighbourhood!,좋은 동네!
3846001,524907311,2019-09-07,126040049,Somin,The place was great. Location was near to Koenji station and also about 10minutes away to Nakano station. Also there is many convinent stores you can go and buy. Manami always replied fast as she can and helped us a lot. Room was perfectly clean and it’s great size for 2 people. I would love to visit again.,장소는 훌륭했습니다. 위치는 고엔지 역과 가까웠으며 나카노 역에서도 약 10분 거리에 있었습니다. 또한 가서 구입할 수 있는 편리한 상점이 많이 있습니다. 마나미는 항상 신속하게 답변해 주셨고 많은 도움을 주셨습니다. 방은 완벽하게 깨끗했고 2명이 사용하기에 좋은 크기입니다. 다시 방문하고 싶습니다.
3846001,529549040,2019-09-15,49377595,Jack,Manami’s place was great and Koenji is a cool neighbourhood and an excellent base to explore the rest of Tokyo. Although a small space it is comfortable and has everything you need and Manami is a very responsive and helpful host. Highly recommended.,Manami의 숙소는 훌륭했고 Koenji는 멋진 동네이자 도쿄의 나머지 지역을 탐험하기 위한 훌륭한 거점입니다. 작은 공간이지만 편안하고 필요한 모든 것을 갖추고 있으며 Manami는 매우 응답이 빠르고 도움이 되는 호스트입니다. 추천.
3846001,542987119,2019-10-07,193236650,Dale,"This is possibly the best AirBnB flat I have ever stayed in. The location is fantastic, right between Koenji and Nakano, with easy access to the whole of Tokyo.<br/>The flat itself was clean, comfortable and stylish with plenty of space. The washing machine and other amenities were very useful.<br/>Obviously the ladder to the loft bed won't be possible for everyone but I found it no trouble at all.<br/>Manami is a fantastic host and provided all the information I needed to have a great stay.",아마도 제가 묵어본 에어비앤비 아파트 중 최고일 것입니다. 위치는 환상적입니다. 고엔지와 나카노 사이에 위치하며 도쿄 전체로 쉽게 이동할 수 있습니다.<br/>아파트 자체는 깨끗하고 편안하며 스타일리시했으며 공간도 넉넉했습니다. . 세탁기와 기타 편의시설은 매우 유용했습니다.<br/>물론 로프트 침대로 연결되는 사다리가 모든 사람에게 가능하지는 않겠지만 저는 전혀 문제가 되지 않았습니다.<br/>마나미는 환상적인 호스트이며 모든 것을 제공했습니다. 즐거운 숙박을 위해 필요한 정보입니다.
3846001,553355291,2019-10-24,9542198,Nicolette,"This apartment was great! More spacious than it looks and perfect for one or two people. The loft was nice to have, although getting up and down the ladder took a bit of getting used to. Great location on a backstreet within walking distance to the train. Manami was very quick to respond to messages and was incredibly kind. We hope to stay here again!",이 아파트는 훌륭했어요! 보기보다 넓고 1~2명이 지내기에 딱 좋습니다. 로프트는 있어서 좋았지만 사다리를 오르내리는 데 익숙해지는 데 약간의 시간이 걸렸습니다. 기차까지 도보 거리에 있는 뒷골목의 훌륭한 위치. Manami는 메시지에 매우 신속하게 응답했고 믿을 수 없을 만큼 친절했습니다. 우리는 여기에 다시 머물기를 바랍니다!
3846001,572797311,2019-12-04,861990,Andrey,"I really enjoyed my stay in the Kōenji area of Tokyo. The location is super convenient, within a walking distance from Kōenji and Nakano stations. The apartment had everything I needed. Manami not only promptly responded to my questions, but also proactively provided me all the useful information. <br/>Highly recommended!",나는 도쿄의 Kōenji 지역에 머무르는 것을 정말 즐겼습니다. 위치는 고엔지역과 나카노역에서 도보 거리에 있어 매우 편리합니다. 아파트에는 내가 필요한 모든 것이 갖춰져 있었습니다. 마나미는 내 질문에 신속하게 응답했을 뿐만 아니라 모든 유용한 정보를 적극적으로 제공했습니다. <br/>강추합니다!
3846001,577838712,2019-12-16,9452177,Avi,"Excellent quiet suburban apartment steps away from one of the nicest neighbourhoods in Tokyo, Koenji. An excellent clean and cozy home base while exploring Tokyo.",도쿄에서 가장 멋진 동네 중 하나인 코엔지(Koenji)에서 몇 걸음 떨어진 매우 조용한 교외 아파트입니다. 도쿄를 탐험하는 동안 매우 깨끗하고 아늑한 홈 베이스입니다.
