id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kr_comments
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,"이보다 더 좋을 수 없습니다. 아파트 자체는 훌륭하며 필요한 모든 것을 갖추고 있습니다. 게다가 동네 자체는 매우 친절하며, 가족 생활의 에너지가 가득합니다. 슈퍼마켓과 일부 편의점 및 기차역이 정말 가깝습니다. 처음부터 집처럼 느껴질 것입니다. 쉽게 구할 수 있는 물건을 포장하다"
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,아파트는 사진에서 보이는 것보다 더 넓습니다. 커플에게 적합합니다. 깨끗하고 잘 관리되어 있고 안전하며 유용한 정보가 많이 있습니다. 서양인으로서 우리는 다다미 바닥에서 이상한 냄새가 난다는 것을 알았지만 나중에 모든 다다미 방에서 같은 냄새가 난다는 것을 알게 되었습니다. 지하철역에서 도보로 약 10분 거리에 위치 이 노선에서는 JR 패스가 유효하지 않으며 슈퍼마켓 상점과 레스토랑에서 도보 거리에 있습니다. 전반적으로 좋은 경험을 했으며 도쿄를 여행하는 모든 사람에게 추천합니다.
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,아파트는 커플에게 적합합니다. 조금 작지만 정말 완벽한 가구가 그것을 보완합니다. 일상 생활에 필요한 모든 것이 제공됩니다. 우리는 또한 동네를 많이 즐겼으며 주요 도시와 가까운 매력적인 장소입니다. of tokyo머무르게 해주셔서 감사합니다 다시 방문하겠습니다
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,요시미와 마렉의 사랑스러운 아파트에서 즐거운 시간을 보냈습니다. 모든 것이 새로 정리되고 정돈되어 있었으며 우리에게 필요한 모든 편안함과 편리함이 갖춰져 있었습니다. 그들이 우리에게 남겨준 생존 키트에는 집과 동네에 대한 정보가 가득했고 긴급 전화번호까지 포함되어 있었습니다. 다른 임대 숙소에서는 볼 수 없었던 기타 세부 사항 이 아파트는 미국 표준에 비해 규모가 작은 일본식이지만 모든 것이 잘 설계되어 우리 4인 가족이 꽤 편안했습니다. 동네가 특별히 그림처럼 아름답지는 않았지만 확실히 편리하고 흥미로웠습니다. 훌륭한 가치와 훌륭한 숙박
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,우리는 오시아게 홀리데이 아파트에서의 숙박을 정말 좋아했습니다. 아파트는 매우 좋았고 매우 편안하고 흠집이 없었습니다. 스미다강과 아사쿠사가 가깝고 새로운 도쿄 스카이트리 바로 아래에 있는 위치가 정말 마음에 들었습니다. 동네는 매우 조용하고 평화롭지만 맛있는 음식이 많이 있습니다. 아파트에는 매우 새로운 편의시설이 갖춰져 있습니다. 도착했을 때 주방에서 제공되는 커피와 차를 정말 고맙게 생각합니다. 다음 번 도쿄 방문 시 꼭 이곳에 다시 묵을 예정입니다.
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,오시아게 홀리데이 아파트에 대해 이야기하는 것이 정말 좋았습니다. 홍콩의 신발 상자 방에 머물렀고 숙소가 예상보다 크고 매우 편안했습니다. 아파트가 평소에 방문할 수 있는 동네에 있지는 않지만 그곳에서 이동하기 쉬웠습니다. 도시 주변에서우리는 꼭 다시 거기에 머물 것입니다Will
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,"도쿄에 온 것이 처음이라 아파트를 처음에 찾기가 조금 어려웠습니다. 그 외에는 모든 것이 훌륭했습니다. 아파트는 깨끗하고 잘 정돈되어 있었습니다. 4인 가족이 지내기에 충분한 공간이 있었고, 숙소는 편안하고 아늑했습니다. 건조기, 수건, 주전자, 전자레인지 냉장고 등 필요한 것이 갖춰져 있었습니다. 무엇보다도 우리는 오시아게 홀리데이 아파트에서 즐거운 시간을 보냈으며 주저하지 않고 다시 머물고 싶습니다."
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,Yoshimi와 Mareks Oshiage 아파트는 탁월한 선택이었습니다. 도착 시 Google 지도 도보 경로를 사용했음에도 불구하고 아파트를 찾기가 약간 어려웠습니다. 다행히도 현지인들은 일본어가 서툴음에도 불구하고 길을 찾을 수 있도록 친절하게 도와주었습니다. 마침내 아파트를 찾았을 때 우리는 너무 좋았습니다. 도쿄 현장뿐만 아니라 더 중요하게는 전통적인 스타일이면서 현대적인 아파트의 사용에 대한 정보가 담긴 바인더에 깊은 인상을 받았습니다. 또한 문밖으로 도쿄 스카이트리가 보이고 도보로 10분 거리에 있다는 점도 좋습니다. 오시아게 기차역 바로 옆에 있어 인기 있는 관광지 비록 숙박 시설은 크지 않지만 유럽의 작은 공간에서 생활하는 데 익숙하고 홍콩에서는 더 작은 호텔 방에 묵어 본 적이 있습니다. 이 아파트에 머무는 것이 얼마나 편안했는지 말로는 설명할 수 없습니다. 이는 긴 하루의 여행과 도쿄의 분주한 인파 후에 정말 중요합니다. 요시미나 마렉을 만날 기회가 없더라도 우리 모두는 그들이 도쿄 휴가를 기억에 남을 수 있도록 제공한 세부 사항으로 인해 그들이 친절한 사람들이라고 느꼈습니다.
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,"요시미 마렉은 뛰어난 의사소통과 아파트로 시작하는 훌륭한 호스트입니다. 아파트는 깨끗하고 설명대로였습니다. 그들은 욕조 샤워기, 화장실 전자레인지, 심지어 세탁기를 사용하여 난방 에어컨을 사용하여 침대를 설치하는 방법에 대한 지침을 제공합니다. 아파트에는 수건, 비누, 샴푸가 갖춰져 있었습니다. 칫솔과 세탁기용 비누까지 와이파이도 완벽하게 작동했습니다. 아파트는 일본에서는 큰 규모지만 대부분의 서양인에게는 작습니다. 아버지와 저는 편안하게 지낼 수 있었습니다. 아파트의 위치는 오시아게역에서 약 10분 거리에 있습니다. 스카이 트리도 있습니다. 전반적으로 제 경험은 훌륭했고 꼭 다시 오시아게 홀리데이 아파트에 머물고 싶습니다."
197677,4.78,4.74,4.92,4.84,4.83,4.53,4.79,"환상적인 숙소를 찾았습니다. 흠잡을 데 없이 깨끗했고, 서바이벌 가이드는 멋진 레스토랑 제안과 우리 방문에 대한 아이디어로 정말 훌륭했습니다. 호스트는 훌륭하고 매우 도움이 되었습니다. 아파트를 떠나 거대한 스카이트리를 앞에 보는 것은 꽤 멋진 경험입니다 멋진 숙박을 해주셔서 감사합니다 Yoshimi와 Marek"
