listing_id,host_id,host_name,host_is_superhost,neighbourhood_cleansed,accommodates,bedrooms,beds,price,minimum_nights,first_review,last_review,review_scores_rating,reviewer_id,date,comments
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,210026863,2019-07-11,房间非常整洁舒适内配备热水壶小冰箱非常方便br地点十分便利十分钟左右路程可以到JR上野日暮里站有公交车可以直接到上野公园浅草在浅草转车可以直到天空树 餐厅便利店澡堂投币洗衣机24小时超市都在3分钟路程内br十分喜欢隔壁的澡堂价格实惠而且对于每天走一天路的我来说是个十分好的休息场所
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,238463868,2019-07-18,Yoshiosan was kind to help me with everything I asked for When I first got to Uguisudani station I came out of the wrong exit which was an additional 10 minutes away from his house Even then he walked all the way to where I was to pick me up and walked all the way back to his place When I was out he would vacuum my room and clean the bed sheets On the last day he let me leave my suitcases at his place even after the check out time He also helped me with my suitcases and hailed a taxi It was a sunny day but it unexpectedly started to shower Yoshiosan immediately ran back to grab 2 umbrellas Just amazing kindness However the house is surrounded by love hotels As a young lady travelling alone I did feel scared at first But thankfully there was no bad experiences After a few days I was used to the environment and felt safe
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,202351115,2019-07-22,very nice
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,78202633,2019-07-27,Yoshio is a very nice man very fast at communicating and picked me up from the train station I had a great stay very good value home
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,224234084,2019-07-28,I had a nice stay in Yoshios house Yoshio is a nice man My flight was two hours delayed I arrived at the airport a bit late Yoshio waited for me at the exit of subway station without any complaints My room was clean and nice He introduced everything in the house He prepared water tea coffee and even cookies He was a very considerate manIt rained in the next morning he prepared umbrella for each guest
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,227049299,2019-08-06,Perfect location and nice host  Very close to train station and only one station away from Ueno station  The host very nice and helped me the next morning as I have 2 luggage he helped me until I got the taxi  Good experience 
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,194249287,2019-08-07,It was great to stay at Yoshios place
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,230442506,2019-08-25,Very convenient place to stay near restaurants station and convenience stores Theres a room for 1 on the first floor and a room for 2 on the 3rd floor so if youre traveling alone or with someone its a great choice
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,190905517,2019-08-28,yoshioさんは本当にいい方駅からただ５分程度の道も改札口までお迎えになるし洗濯だいも払った本当にいい人この七日一番寝られました風邪ひかないようといろいろ教えたし本当にありがとうございます disney行くため当日６時はcheckoutもかかわらず手迎えで見送るとはまじで東京にも暖から面を感じたつくりもんじゃないそうそうみんなもこっちに泊まるべきすんごく便利 秋葉はたったの１０分スリッパで１分ほどスーパー銭湯や洗濯ちがある最高だった 
6749824,35340956,Yoshio,,Taito Ku,1,,1.0,"$5,000.00",2,2016-05-02,2023-06-26,4.87,171270004,2019-09-07,总体来说很好房东大叔会提前联系会到车站来接可以体验日本人的居家生活而且大叔人很好会热心招待住得很愉快br具体来说优缺点如下br优点br1位置很好房子离莺谷站北口很近而莺谷站距离上野只一站地换乘别的线路很方便去上野浅草的诸多景点可以直接走路过去莺谷站周边生活气息浓厚很多小饭馆从北口出来就是罗森还有麦当劳非常便利br2性价比高这个价格在东京这么好的位置真是不好找的感觉大叔不图钱只是真心想做好这件事br3房子很干净设施齐全空调冰箱微波炉都有br4房东大叔招待得很好他会到车站接人准备饮料和零食讲解房子设施早上还会问我去哪儿给我建议晚上也从不打扰我他会在自己房间待着所以喜欢清静的客人也不必担心br缺点br1房子是三层小楼我住的单人间在一层三层还有个双人间厕所在一层厨房在二层浴室在三层楼梯比较狭窄也比较陡腿脚不好的人要慎重考虑br2毕竟家里有大叔住着可能还有另外一户客人出出进进生活起居难免有声音很介意这一点的话要慎重考虑
