Unnamed: 0,district,address,info,date,full name,latitude,longitude,translated
0,新宿区,東京都新宿区新宿三丁目22-7指田ビル地下1階,死体発見,平成24年11月5日,東京都 新宿区 新宿 三丁目 22番 7号,35.69326400756836,139.70130920410156,시체 발견
1,新宿区,東京都新宿区西新宿一丁目3-9,飛び降り自殺,令和4年,東京都 新宿区 西新宿 一丁目 3番 9号,35.69321823120117,139.6981658935547,뛰어내리 자살
2,新宿区,東京都新宿区歌舞伎町一丁目27-5 中台ビル,2階サウナロイヤル 死体発見,平成20年1月5日,東京都 新宿区 歌舞伎町 一丁目 27番 5号,35.69544982910156,139.70062255859375,2층 사우나 로얄 시체 발견
3,新宿区,東京都新宿区歌舞伎町一丁目20-2アパホテル新宿歌舞伎町タワー↓,飛び降り自殺,令和3年5月11日,東京都 新宿区 歌舞伎町 一丁目 20番 2号,35.69565200805664,139.70140075683594,뛰어내리 자살
4,新宿区,東京都新宿区西新宿七丁目5-9プロスペクト・アクス・ザ・タワー新宿2008,首吊り自殺,平成27年9月26日,東京都 新宿区 西新宿 七丁目 5番 9号,35.69681167602539,139.6980438232422,목살 자살
5,新宿区,東京都新宿区西新宿七丁目5-25,"20階
心理的瑕疵あり",不明,東京都 新宿区 西新宿 七丁目 5番 25号,35.697593688964844,139.69883728027344,20층 심리적 하자 있음.
6,新宿区,東京都新宿区歌舞伎町二丁目35-6,コインロッカー内に乳児の腐乱死体。,平成30年6月12日,東京都 新宿区 歌舞伎町 二丁目 35番 6号,35.696502685546875,139.7024688720703,코인 보관함에 유아의 부패사체.
7,新宿区,東京都新宿区歌舞伎町二丁目8-2,902号室で自殺あり。,2020年7月初旬,東京都 新宿区 歌舞伎町 二丁目 8番 2号,35.69490051269531,139.7058868408203,902호실에서 자살.
8,新宿区,東京都新宿区新宿五丁目16-10,伊勢丹テナント関係者の首吊り自殺,2008年頃,東京都 新宿区 新宿 五丁目 16番 10号,35.69314956665039,139.70635986328125,이세탄 인스트래빗 관계자의 목살 자살
9,新宿区,東京都新宿区新宿五丁目18-20 ビジネスホテルミラベル,309号室 首吊り自殺,平成20年12月4日,東京都 新宿区 新宿 五丁目 18番 20号,35.693931579589844,139.70648193359375,309호실목살 자살
10,新宿区,東京都新宿区歌舞伎町二丁目2-20 ライオンズマンション歌舞伎町A棟,"114号室
宅地建物取引業47条1項に基づく告知事項有り",令和4年5月21日,東京都 新宿区 歌舞伎町 二丁目 2番 20号,35.69565200805664,139.70684814453125,114호실 주택물거래중개 47호1항에 따른 고지사항 있음
11,新宿区,東京都新宿区歌舞伎町二丁目10-7ダイヤモンドビル,螺旋階段から転落死,平成22年,東京都 新宿区 歌舞伎町 二丁目 10番 7号,35.69548797607422,139.70452880859375,나선계단에서 굴락사
12,新宿区,東京都新宿区歌舞伎町一丁目11-5扇園ビル1階,刺殺,平成20年4月8日,東京都 新宿区 歌舞伎町 一丁目 11番 5号,35.69501876831055,139.70269775390625,사시미
13,新宿区,東京都新宿区歌舞伎町二丁目2-21,撲殺,平成24年5月17日,東京都 新宿区 歌舞伎町 二丁目 2番 21号,35.695518493652344,139.70681762695312,뺑소
14,新宿区,東京都新宿区歌舞伎町二丁目18-5,飛び降り自殺,平成26年12月,東京都 新宿区 歌舞伎町 二丁目 18番 5号,35.6972770690918,139.70492553710938,뛰어내리 자살
15,新宿区,東京都新宿区歌舞伎町二丁目30-5,遺体発見,平成30年12月25日,東京都 新宿区 歌舞伎町 二丁目 30番 5号,35.69712448120117,139.70310974121094,시신 발견
16,新宿区,東京都新宿区歌舞伎町二丁目3-23新宿セントラルビル3F,刺殺,平成19年4月5日,東京都 新宿区 歌舞伎町 二丁目 3番 23号,35.69685745239258,139.70709228515625,사시미
17,新宿区,東京都新宿区歌舞伎町二丁目10-6,B1・キャバ嬢自殺,2006〜2012の間,東京都 新宿区 歌舞伎町 二丁目 10番 6号,35.695350646972656,139.70449829101562,"B1,바카다 자살"
18,新宿区,東京都新宿区新宿五丁目18-11,5階から飛び降り,2015年ころ,東京都 新宿区 新宿 五丁目 18番 11号,35.69476318359375,139.70620727539062,5층에서 뛰어내리
