,年度,総数（人）,人文科学（％）,社会科学（％）,理学（％）,工学（％）,農学（％）,保健（％）,商船（％）,家政（％）,教育（％）,芸術（％）,その他（％）
0,平成１８（２００６）年度,1011908,26.3,28.6,2.1,4.4,2.8,11.1,0.0,5.6,8.6,5.0,5.4
1,平成１９（２００７）年度,1023586,25.8,28.1,2.1,4.3,2.8,11.8,0.0,5.7,8.7,5.0,5.8
2,平成２０（２００８）年度,1036931,25.2,27.6,2.0,4.2,2.9,12.3,0.0,5.7,8.8,5.0,6.4
3,平成２１（２００９）年度,1053168,24.6,27.2,2.0,4.1,2.9,12.7,0.0,5.7,9.0,4.9,6.9
4,平成２２（２０１０）年度,1077782,24.0,26.8,1.9,4.0,2.9,13.5,0.0,5.7,9.2,4.8,7.2
5,平成２３（２０１１）年度,1094283,23.3,26.2,1.9,4.0,2.9,14.4,0.0,5.7,9.3,4.7,7.5
6,平成２４（２０１２）年度,1101644,22.7,25.9,1.9,4.2,2.9,15.0,0.0,5.7,9.5,4.6,7.5
7,平成２５（２０１３）年度,1113812,22.3,25.6,1.9,4.3,3.0,15.5,0.0,5.8,9.8,4.5,7.4
8,平成２６（２０１４）年度,1117778,21.8,25.4,1.9,4.5,3.0,16.0,0.0,5.8,9.9,4.4,7.3
9,平成２７（２０１５）年度,1127372,21.4,25.2,1.9,4.7,3.0,16.5,0.0,5.7,9.9,4.3,7.3
10,平成２８（２０１６）年度,1141442,21.0,25.2,1.9,4.7,3.0,16.8,0.0,5.7,9.9,4.3,7.6
