,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,(１）あなたは、周りの人から「いつも同じ事を聞く」などの物忘れがあると言われますか。,1.0,はい,23.9,35.2,11.2,,p<0.01
1,(１）あなたは、周りの人から「いつも同じ事を聞く」などの物忘れがあると言われますか。,2.0,いいえ,76.1,64.8,88.8,,p<0.01
2,(２）あなたは、自分で電話番号を調べて、電話をかけることをしていますか。,1.0,はい,56.3,61.1,85.5,,p<0.01
3,(２）あなたは、自分で電話番号を調べて、電話をかけることをしていますか。,2.0,いいえ,43.7,38.9,14.5,,p<0.01
4,(３）あなたは、今日が何月何日か分からない時がありますか。,1.0,はい,30.6,48.1,16.5,,p<0.01
5,(３）あなたは、今日が何月何日か分からない時がありますか。,2.0,いいえ,69.4,51.9,83.5,,p<0.01
6,(４）あなたは、お酒を飲みますか。,1.0,飲む,45.1,37.7,50.0,p<0.05,p<0.05
7,(４）あなたは、お酒を飲みますか。,2.0,やめた,1.4,15.1,5.9,p<0.05,p<0.05
8,(４）あなたは、お酒を飲みますか。,3.0,全く飲まない,53.5,47.2,44.1,p<0.05,p<0.05
9,飲むと回答したうち、頻度の記載があったもの,,週１日程度,31.3,20.0,17.2,,
10,飲むと回答したうち、頻度の記載があったもの,,週２～３日程度,34.4,25.0,13.8,,
11,飲むと回答したうち、頻度の記載があったもの,,週４～６日程度,9.4,15.0,19.8,,
12,飲むと回答したうち、頻度の記載があったもの,,週７日以上,12.5,20.0,24.1,,
13,飲むと回答したうち、頻度の記載があったもの,,たまに、ときどき,0.0,5.0,4.2,,
14,飲むと回答したうち、頻度の記載があったもの,,回数無回答,12.5,15.0,21.0,,
15,(５）あなたは、たばこを吸いますか。,1.0,現在吸っている,36.1,15.1,10.9,p<0.05,
16,(５）あなたは、たばこを吸いますか。,2.0,やめた,15.3,28.3,37.9,p<0.05,
17,(５）あなたは、たばこを吸いますか。,3.0,吸ったことがない,48.6,56.6,51.2,p<0.05,
18,現在吸っていると回答したうち、本数,,１日0～9本,25.0,25.0,13.6,,
19,現在吸っていると回答したうち、本数,,１日10～14本,45.0,12.5,27.3,,
20,現在吸っていると回答したうち、本数,,１日15～19本,10.0,0.0,13.6,,
21,現在吸っていると回答したうち、本数,,１日20本以上,20.0,62.5,45.5,,
