,区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,（１）あなたは、自分自身の現在の暮らしを、どう感じていますか。（あてはまる番号に○）,1,大変苦しい,17.9,12.5,3.6,,p<0.01
1,（１）あなたは、自分自身の現在の暮らしを、どう感じていますか。（あてはまる番号に○）,2,やや苦しい,35.8,32.1,14.1,,p<0.01
2,（１）あなたは、自分自身の現在の暮らしを、どう感じていますか。（あてはまる番号に○）,3,普通,43.3,44.6,55.0,,p<0.01
3,（１）あなたは、自分自身の現在の暮らしを、どう感じていますか。（あてはまる番号に○）,4,ややゆとりがある,3.0,5.4,23.0,,p<0.01
4,（１）あなたは、自分自身の現在の暮らしを、どう感じていますか。（あてはまる番号に○）,5,大変ゆとりがある,0.0,5.4,4.4,,p<0.01
5,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,1,上,0.0,0.0,1.0,,p<0.01
6,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,2,中の上,10.1,12.5,27.8,,p<0.01
7,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,3,中の下,30.4,28.6,39.2,,p<0.01
8,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,4,下の上,18.8,32.1,13.9,,p<0.01
9,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,5,下の下,17.4,14.3,2.9,,p<0.01
10,（２）あなた自身は、日本の社会でどの層に入ると思いますか。（あてはまる番号に○）,6,わからない,23.2,12.5,15.3,,p<0.01
11,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（1）私の人生は、能力のわりに活躍できる地位を与えられてこなかった,1,まったくそう思わない,19.7,25.5,20.3,,
12,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（1）私の人生は、能力のわりに活躍できる地位を与えられてこなかった,2,あまりそう思わない,34.8,36.4,39.4,,
13,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（1）私の人生は、能力のわりに活躍できる地位を与えられてこなかった,3,どちらともいえない,30.3,30.9,30.5,,
14,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（1）私の人生は、能力のわりに活躍できる地位を与えられてこなかった,4,ややそう思う,9.1,3.6,8.8,,
15,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（1）私の人生は、能力のわりに活躍できる地位を与えられてこなかった,5,とてもそう思う,6.1,3.6,1.0,,
16,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（2）この５年間で社会から必要とされていないと感じるようになった,1,まったくそう思わない,16.7,21.4,25.8,,p<0.01
17,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（2）この５年間で社会から必要とされていないと感じるようになった,2,あまりそう思わない,24.2,19.6,40.4,,p<0.01
18,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（2）この５年間で社会から必要とされていないと感じるようになった,3,どちらともいえない,34.8,23.2,20.6,,p<0.01
19,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（2）この５年間で社会から必要とされていないと感じるようになった,4,ややそう思う,10.6,21.4,10.5,,p<0.01
20,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（2）この５年間で社会から必要とされていないと感じるようになった,5,とてもそう思う,13.6,14.3,2.7,,p<0.01
21,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（3）私は、家庭での生活で幸せを感じることは少ない,1,まったくそう思わない,21.2,25.0,37.5,,p<0.01
22,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（3）私は、家庭での生活で幸せを感じることは少ない,2,あまりそう思わない,22.7,19.6,40.8,,p<0.01
23,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（3）私は、家庭での生活で幸せを感じることは少ない,3,どちらともいえない,28.8,19.6,14.2,,p<0.01
24,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（3）私は、家庭での生活で幸せを感じることは少ない,4,ややそう思う,12.1,19.6,5.9,,p<0.01
25,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（3）私は、家庭での生活で幸せを感じることは少ない,5,とてもそう思う,15.2,16.1,1.6,,p<0.01
26,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（4）電気代、ガス代、水道代の支払いをやりくりするのが大変である,1,まったくそう思わない,22.7,33.9,46.5,,p<0.01
27,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（4）電気代、ガス代、水道代の支払いをやりくりするのが大変である,2,あまりそう思わない,21.2,21.4,29.9,,p<0.01
28,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（4）電気代、ガス代、水道代の支払いをやりくりするのが大変である,3,どちらともいえない,25.8,19.6,11.7,,p<0.01
29,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（4）電気代、ガス代、水道代の支払いをやりくりするのが大変である,4,ややそう思う,16.7,16.1,8.6,,p<0.01
30,（３）あなたは、自分自身について、どのように思いますか。（あてはまる番号に○）／（4）電気代、ガス代、水道代の支払いをやりくりするのが大変である,5,とてもそう思う,13.6,8.9,3.4,,p<0.01
