,科目,２７決算額（千円）,２７構成比（％）,２６決算額（千円）,２６構成比（％）,対前増減額２７（千円）,対前増減額２６（千円）,増減率２７（％）,増減率２６（％）
0,議会費,18024,1.3,14874,1.3,3150,4928,21.2,32.4
1,総務費,710293,50.0,524423,44.9,185870,-93123,35.4,-15.2
2,民生費,95414,6.7,106654,9.1,-11240,16006,-10.5,16.4
3,衛生費,144985,10.2,90327,7.7,54658,1655,60.5,1.3
4,労働費,0,0.0,0,0.0,0,0,-,-
5,農林水産業費,55402,3.9,67655,5.8,-12253,-13212,-18.1,-16.8
6,商工費,95753,6.7,43616,3.7,52137,9635,119.5,14.9
7,土木費,163169,11.5,180906,15.5,-17737,48691,-9.8,84.3
8,消防費,22314,1.6,9718,0.8,12596,173,129.6,1.7
9,教育費,68954,4.8,83243,7.1,-14289,23714,-17.2,34.3
10,災害復旧費,0,0.0,0,0.0,0,0,-,-
11,公債費,47595,3.3,46065,4.4,1530,-4349,3.3,-8.4
12,諸支出金,0,0.0,0,0.0,0,0,-,-
13,合計,1421903,100.0,1167481,100.0,254422,-5882,21.8,-0.5
