,科目,２７決算額（千円）,２７構成比（％）,２６決算額（千円）,２６構成比（％）,対前年度増減額２７（千円）,対前年度増減額２６（千円）,増減率２７（％）,増減率２６（％）
0,議会費,53767,1.2,48456,1.2,5311,-2222,11.0,-4.4
1,総務費,1135599,25.5,1113807,28.6,21792,490202,2.0,78.6
2,民生費,490674,11.0,434758,11.1,55916,-23770,12.9,-5.2
3,衛生費,533866,12.0,539111,13.8,-5245,-104901,-1.0,-16.3
4,労働費,48343,1.1,47277,1.2,1066,717,2.3,1.5
5,農林水産業費,259699,5.8,218240,5.6,41459,-53936,19.0,-19.8
6,商工費,268976,6.0,274755,7.0,-5779,9243,-2.1,3.5
7,土木費,328261,7.4,337281,8.6,-9020,21240,-2.7,6.7
8,消防費,792735,17.8,258476,6.6,534259,-23588,206.7,-8.4
9,教育費,305846,6.9,292518,7.5,13328,-137719,4.6,-32.0
10,災害復旧費,19068,0.4,15573,0.4,3495,-50079,22.4,-76.3
11,公債費,173228,3.9,287712,7.4,-114484,-25608,-39.8,-8.2
12,諸支出金,38100,0.9,31500,0.8,6600,-21376,21.0,-40.4
13,合計,4448162,100.0,3899464,100.0,548698,78203,14.1,2.0
