,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322）(%),被疑者間,高齢者間
0,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（5）万引きが起きるのは、あくまで盗む人に原因がある,1,まったくそう思わない,3.1,3.7,2.2,,p<0.05
1,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（5）万引きが起きるのは、あくまで盗む人に原因がある,2,あまりそう思わない,3.1,0.0,5.5,,p<0.05
2,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（5）万引きが起きるのは、あくまで盗む人に原因がある,3,どちらともいえない,27.7,29.6,28.1,,p<0.05
3,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（5）万引きが起きるのは、あくまで盗む人に原因がある,4,ややそう思う,27.7,18.5,34.4,,p<0.05
4,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（5）万引きが起きるのは、あくまで盗む人に原因がある,5,とてもそう思う,38.5,48.1,29.8,,p<0.05
5,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（6）万引きが起きるのは、家族や周りの人にも原因がある,1,まったくそう思わない,36.4,57.4,8.7,,p<0.01
6,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（6）万引きが起きるのは、家族や周りの人にも原因がある,2,あまりそう思わない,27.3,14.8,15.7,,p<0.01
7,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（6）万引きが起きるのは、家族や周りの人にも原因がある,3,どちらともいえない,27.3,18.5,33.2,,p<0.01
8,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（6）万引きが起きるのは、家族や周りの人にも原因がある,4,ややそう思う,6.1,7.4,36.1,,p<0.01
9,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（6）万引きが起きるのは、家族や周りの人にも原因がある,5,とてもそう思う,3.0,1.9,6.2,,p<0.01
10,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（7）万引きが起きるのは、店にも原因がある,1,まったくそう思わない,44.8,59.3,18.0,,p<0.01
11,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（7）万引きが起きるのは、店にも原因がある,2,あまりそう思わない,14.9,11.1,28.3,,p<0.01
12,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（7）万引きが起きるのは、店にも原因がある,3,どちらともいえない,25.4,22.2,34.2,,p<0.01
13,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（7）万引きが起きるのは、店にも原因がある,4,ややそう思う,10.4,7.4,17.5,,p<0.01
14,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（7）万引きが起きるのは、店にも原因がある,5,とてもそう思う,4.5,0.0,2.0,,p<0.01
15,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（8）万引きが起きるのは、社会にも原因がある,1,まったくそう思わない,32.8,55.6,8.7,p<0.05,p<0.01
16,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（8）万引きが起きるのは、社会にも原因がある,2,あまりそう思わない,17.9,13.0,19.3,p<0.05,p<0.01
17,あなたは、次の意見について、どのように思いますか。（あてはまる番号に○）／（8）万引きが起きるのは、社会にも原因がある,3,どちらともいえない,31.3,16.7,32.7,p<0.05,p<0.01
