,税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,18751,295,18664,0,99.5,－
1,普通税,村民税,法人,2970,0,2970,0,100,-
2,普通税,村民税,計,21721,295,21634,0,99.6,-
3,普通税,固定資産税,純固定資産税,17995,27,17995,0,100,-
4,普通税,固定資産税,交付金,1984,0,1984,0,100,-
5,普通税,固定資産税,計,19979,27,19979,0,100,-
6,普通税,軽自動車税,,1104,8,1104,0,100,-
7,普通税,たばこ税,,2519,0,2519,0,100,-
8,普通税,特別土地保有税,,0,0,0,0,-,-
9,普通税,入湯税,,0,0,0,0,-,-
10,普通税,合計,,45323,330,45236,0,99.8,-
11,国民健康保険税,,,5806,1110,5763,1110,99.3,100
