,区分,No,項目,被疑者（65歳未満）(N=72)(%),被疑者（65歳以上）(N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,1,妻・夫・パートナー,21.1,30.9,65.6,,p<0.01
1,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,2,その他の家族,36.6,23.6,54.8,,p<0.01
2,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,3,友人・知人,56.3,29.1,61.3,p<0.01,p<0.01
3,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,4,医者・ケアマネージャーなどの専門家,4.2,7.3,6.4,,
4,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（1）話しを聴いてくれる,5,誰もいない,19.7,29.1,1.6,,p<0.01
5,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,1,妻・夫・パートナー,22.9,24.1,62.0,,p<0.01
6,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,2,その他の家族,28.6,27.8,55.4,,p<0.01
7,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,3,友人・知人,45.7,25.9,49.3,p<0.05,p<0.01
8,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,4,医者・ケアマネージャーなどの専門家,7.1,11.1,6.7,,
9,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（2）相談にのってくれる,5,誰もいない,26.4,25.0,2.1,,p<0.01
10,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,1,妻・夫・パートナー,22.7,20.4,58.8,,p<0.01
11,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,2,その他の家族,19.7,16.7,15.4,,
12,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,3,友人・知人,6.1,1.9,0.2,,
13,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,4,医者・ケアマネージャーなどの専門家,3.0,0.0,0.1,,
14,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（3）生活費を出してくれる,5,誰もいない,47.2,60.7,23.7,,p<0.01
15,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,1,妻・夫・パートナー,9.8,9.1,48.9,,p<0.01
16,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,2,その他の家族,26.2,18.2,30.9,,
17,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,3,友人・知人,19.7,5.5,4.6,p<0.05,
18,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,4,医者・ケアマネージャーなどの専門家,3.3,1.8,0.1,,
19,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（4）お金を一時的に貸してくれる,5,誰もいない,41.7,66.1,19.1,p<0.05,p<0.01
20,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,1,妻・夫・パートナー,22.2,20.0,64.6,,p<0.01
21,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,2,その他の家族,34.9,27.3,53.3,,p<0.01
22,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,3,友人・知人,9.5,3.6,4.3,,
23,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,4,医者・ケアマネージャーなどの専門家,0.0,10.9,7.2,p<0.01,
24,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（5）病気や介護など身の回りの世話を頼める,5,誰もいない,38.9,39.3,6.0,,p<0.01
25,あなたが次の内容を支援してもらっている人は誰ですか。（○はいくつでも）／（6）気持の支えになってくれる,1,妻・夫・パートナー,23.9,35.2,64.2,,p<0.01
