,科目,１７決算額（千円）,１７構成比（％）,１６決算額（千円）,１６構成比（％）,１７対前年度増減額（千円）,１６対前年度増減額（千円）,１７増減率（％）,１６増減率（％）
0,議会費,11364,1.2,11526,1.3,-162,-1675,-1.4,-12.7
1,総務費,370758,38.0,437617,49.1,-66859,-24263,-15.3,-5.3
2,民生費,152217,15.6,73765,8.3,78452,-4077,106.4,-5.2
3,衛生費,103913,10.7,63563,7.1,40350,592,63.5,0.9
4,労働費,0,0.0,0,0.0,0,0,,
5,農林水産業費,52100,5.3,55063,6.2,-2963,-21694,-5.4,-28.3
6,商工費,41689,4.3,67379,7.6,-25690,-729,-38.1,-1.1
7,土木費,120015,12.3,48787,5.5,71228,-8219,146.0,-14.4
8,消防費,3054,0.3,4263,0.5,-1209,-125,-28.4,-2.8
9,教育費,75666,7.8,87534,9.8,-11868,18155,-13.6,26.2
10,災害復旧費,0,0.0,0,0.0,0,0,,
11,公債費,44145,4.5,41551,4.7,2594,259,6.2,0.6
12,諸支出金,0,0.0,0,0.0,0,0,,
13,合計,974921,100.0,891048,100.0,83873,-41776,9.4,-4.5
