,年,検挙総数（件）,配偶者計（件）,配偶者計（％）,うち夫によるもの（件）,うち夫によるもの（％）,うち配偶者（件）,その他（件）
0,平成１５（２００３）年,1258,215,17.1,133,10.6,82,1043
1,平成１６（２００４）年,1224,206,16.8,127,10.4,79,1018
2,平成１７（２００５）年,1224,218,17.8,126,10.3,92,1006
3,平成１８（２００６）年,1155,179,15.5,117,10.1,62,976
4,平成１９（２００７）年,1052,192,18.3,107,10.2,85,860
5,平成２０（２００８）年,1120,200,17.9,126,11.3,74,920
6,平成２１（２００９）年,971,152,15.7,99,10.2,53,819
7,平成２２（２０１０）年,944,184,19.5,114,12.1,70,760
8,平成２３（２０１１）年,941,158,16.8,89,9.5,69,783
9,平成２４（２０１２）年,884,153,17.3,93,10.5,60,731
10,平成２５（２０１３）年,858,155,18.1,106,12.4,49,703
