,名称,所在地,緯度,経度,座標系,電話１,電話２,備考
0,東京都三宅支庁／総務課,東京都三宅島三宅村伊豆６４２,34.117651,139.508487,JGD2011,04994-2-1311,,
1,東京都三宅支庁／産業課,東京都三宅島三宅村伊豆６４２,34.117651,139.508487,JGD2011,04994-2-1312,,
2,東京都三宅支庁／土木港湾課,東京都三宅島三宅村伊豆６４２,34.117651,139.508487,JGD2011,04994-2-1313,,
3,東京都三宅島港湾空港／管理事務所,東京都三宅島三宅村坪田１３７８,34.071718,139.558434,JGD2011,04994-6-0203,,
4,東京都島しょ保健所／三宅出張所,東京都三宅島三宅村伊豆１００４,34.118182,139.504096,JGD2011,04994-2-0181,,
5,東京都教育庁／三宅出張所,東京都三宅島三宅村伊豆６４２,34.117651,139.508487,JGD2011,04994-2-0191,,
6,東京都島しょ農林水産総合センター／三宅事業所,東京都三宅島三宅村坪田４３５７,34.076520,139.553588,JGD2011,04994-6-1414,,
7,東京都立三宅高等学校,東京都三宅島三宅村坪田４５８６,34.058837,139.537831,JGD2011,04994-6-1136,,
8,東京都島部海区漁業／調整委員会三宅分室,東京都三宅島三宅村伊豆６４２,34.117651,139.508487,JGD2011,04994-2-1312,（代）,
9,警視庁三宅島警察署,東京都三宅島三宅村伊豆６４０,34.119266,139.518026,JGD2011,04994-2-0511,,
10,三宅村役場／臨時庁舎,東京都三宅島三宅村阿古４９７,34.075779,139.479747,JGD2011,04994-5-0981,,本庁舎／東京都三宅島三宅村坪田１７７４
11,御蔵島村役場,東京都御蔵島村,33.897366,139.596116,JGD2011,04994-8-2121,,
12,東京法務局,東京都千代田区九段南１－１－１５／九段第２合同庁舎内,35.693728,139.754478,JGD2011,03-5213-1234,,
13,火山監視・情報センター／三宅島火山防災連絡事務所,東京都三宅島三宅村阿古４９７／（三宅村役場臨時庁舎内）,34.075779,139.479747,JGD2011,04994-5-0980,,
14,下田海上保安部交通課／（旧三宅島航路標識事務所）,静岡県下田市３－１８－２３,34.669832,138.948805,JGD2011,0558-23-0145,,
15,三宅島郵便局,東京都三宅島三宅村神着２２２,34.117874,139.539621,JGD2011,04994-2-0001,,
16,坪田郵便局,東京都三宅島三宅村坪田３０５０,34.059875,139.544840,JGD2011,04994-6-0001,,
17,三宅島阿古郵便局,東京都三宅島三宅村阿古７００－６,34.064613,139.482895,JGD2011,04994-5-0001,,
18,三宅島伊豆郵便局,東京都三宅島三宅村伊豆１０５４,34.117651,139.508487,JGD2011,04994-2-0018,,
19,三宅島伊ヶ谷郵便局,東京都三宅島三宅村伊ヶ谷４３２,34.097358,139.493689,JGD2011,04994-2-0151,,
20,御蔵島郵便局,東京都御蔵島村,33.897366,139.596116,JGD2011,04994-8-2201,,
21,ＮＴＴ東日本－東京,東京都三宅島三宅村伊豆６２７－２,34.117648,139.508488,JGD2011,04994-2-0134,,
22,三宅島農業振興会,東京都三宅島三宅村神着３１３－１,34.117849,139.539632,JGD2011,04994-2-0132,,
23,御蔵島村農業協同組合,東京都御蔵島村,33.897366,139.596116,JGD2011,04994-8-2212,,
24,三宅村森林組合,東京都三宅島三宅村坪田６７２－５,-,-,JGD2011,04994-5-0899,,
25,三宅島漁業協同組合,東京都三宅島三宅村阿古６８０,34.065889,139.484644,JGD2011,04994-5-0011,,
26,御蔵島村漁業協同組合,東京都御蔵島村,33.897366,139.596116,JGD2011,04994-8-2151,,
27,東京電力パワーグリッド株式会社／東京総支社島嶼業務センター／三宅島事務所,東京都三宅島三宅村伊豆９９１,34.117648,139.508488,JGD2011,04994-2-0711,,
28,七島信用組合／三宅島支店,東京都三宅島三宅村神着２３９－１,34.121215,139.526667,JGD2011,04994-2-0081,,
29,東海汽船株式会社／三宅島支店,東京都三宅島三宅村阿古６７２－３,34.068204,139.480746,JGD2011,04994-5-0221,,
30,三宅島観光協会,東京都三宅島三宅村阿古６７２－３,34.068204,139.480746,JGD2011,04994-5-1144,,
31,三宅村商工会／臨時事務所,東京都三宅島三宅村神着８９４,34.117874,139.539621,JGD2011,04994-2-1381,,商工会館／東京都三宅島三宅村坪田１２７１－１
32,三宅村シルバー人材センター,東京都三宅島三宅村坪田３００７,34.070173,139.554458,JGD2011,04994-6-1244,,
33,三宅島あじさいの里,東京都三宅島三宅村阿古８０７－１,34.058455,139.481113,JGD2011,04994-5-0248,,
34,三宅島社会福祉協議会,東京都三宅島三宅村阿古４９７／（三宅村役場臨時庁舎内）,34.075779,139.479747,JGD2011,04994-5-7051,,
