,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）(N=1322)(%),被疑者間,高齢者間
0,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,1,幼少のころ,18.3,5.5,19.6,p<0.05,p<0.01
1,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,2,学生時代,45.1,34.5,44.0,,
2,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,3,結婚したとき,14.1,21.8,43.8,,p<0.01
3,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,4,働いていたとき,14.1,36.4,50.3,p<0.01,
4,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,5,子供が生まれたとき,21.1,27.3,55.1,,p<0.01
5,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,6,家を買ったとき,7.0,10.9,31.3,,p<0.01
6,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,7,孫が生まれたとき,5.6,16.4,40.3,p<0.05,p<0.01
7,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,8,今,11.3,7.3,40.2,,p<0.01
8,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,9,その他,4.2,3.6,5.3,,
9,あなたは、これまでの人生で、楽しかったときはいつですか。（○はいくつでも）,10,特にない,18.1,12.5,2.1,,p<0.01
