,税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,151880,6484,149478,3272,98.4,50.5
1,普通税,村民税,法人,13026,30,13026,20,100,66.7
2,普通税,村民税,計,164906,6514,162504,3292,98.3,50.5
3,普通税,固定資産税,純固定資産税,126628,8619,124102,2020,98,23.4
4,普通税,固定資産税,交付金,24929,0,24929,0,100,-
5,普通税,固定資産税,計,151557,8619,149031,2020,98.3,23.4
6,普通税,軽自動車税,,13645,1113,13322,268,97.6,24.1
7,普通税,たばこ税,,28765,0,28765,0,100,-
8,普通税,特別土地保有税,,0,0,0,0,-,-
9,普通税,入湯税,,3455,0,3455,0,100,-
10,普通税,合計,,362328,16246,357077,5580,98.6,34.3
11,国民健康保険税,,,67796,14287,65023,6827,95.9,47.8
