,科目,１７決算額（千円）,１７構成比（％）,１６決算額（千円）,１６構成比（％）,１７対前年度増減額（千円）,１６対前年度増減額（千円）,１７増減率（％）,１６増減率（％）
0,議会費,53297,0.8,52197,0.7,1100,-979,2.1,-1.8
1,総務費,1534121,22.1,1854389,25.3,-320268,620318,-17.3,50.3
2,民生費,510207,7.4,683920,9.3,-173713,4124,-25.4,0.6
3,衛生費,585828,8.4,377973,5.1,207855,17372,55.0,4.8
4,労働費,0,0.0,0,0.0,0,0,0.0,0.0
5,農林水産業費,156544,2.3,363753,5.0,-207209,132941,-57.0,57.6
6,商工費,121216,1.8,49087,0.7,72129,-2724,146.9,-5.3
7,土木費,574168,8.3,1345318,18.3,-771150,1211586,-57.3,906.0
8,消防費,211115,3.0,153408,2.1,57707,29948,37.6,24.3
9,教育費,566332,8.2,98232,1.3,468100,-26908,476.5,-21.5
10,災害復旧費,2124312,30.7,1832490,25.0,291822,1708841,15.9,1382.0
11,公債費,445736,6.4,515522,7.0,-69786,45470,-13.5,9.7
12,諸支出金,43690,0.6,17339,0.2,26351,-17747,152.0,-50.6
13,合計,6926566,100.0,7343628,100.0,-417062,3722242,-5.7,102.8
