,区分,No,項目,被疑者（65歳未満）（N=72)(%),被疑者（65歳以上）（N=56)(%),一般（65歳以上）（N=1322)(%),被疑者間,高齢者間
0,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,1,まったくそう思わない,24.6,18.5,20.0,,p<0.01
1,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,2,あまりそう思わない,7.2,9.3,12.1,,p<0.01
2,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,3,以前と変わらない,20.3,11.1,29.4,,p<0.01
3,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,4,ややそう思う,21.7,14.8,27.2,,p<0.01
4,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,5,とてもそう思う,13.0,24.1,8.6,,p<0.01
5,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（1）友人・知人とのつきあいが減った,6,つきあいがもともとない,13.0,22.2,2.7,,p<0.01
6,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,1,まったくそう思わない,28.1,27.8,44.1,,p<0.01
7,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,2,あまりそう思わない,4.7,1.9,12.7,,p<0.01
8,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,3,以前と変わらない,14.1,13.0,28.8,,p<0.01
9,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,4,ややそう思う,7.8,13.0,7.6,,p<0.01
10,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,5,とてもそう思う,4.7,14.8,1.9,,p<0.01
11,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（2）子供・孫との関係が疎遠になった,6,つきあいがもともとない,40.6,29.6,4.9,,p<0.01
12,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,1,まったくそう思わない,26.1,16.7,20.2,,p<0.01
13,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,2,あまりそう思わない,7.2,9.3,15.0,,p<0.01
14,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,3,以前と変わらない,18.8,16.7,38.9,,p<0.01
15,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,4,ややそう思う,10.1,16.7,15.0,,p<0.01
16,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,5,とてもそう思う,4.3,13.0,3.9,,p<0.01
17,あなたは、この５年間で、次の関係が変化したと思いますか。（あてはまる番号に○）／（3）近隣者との会話が減った,6,つきあいがもともとない,33.3,27.8,7.1,,p<0.01
