,科目１,科目２,科目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,14521.0,201.0,14094.0,0.0,921.0,0.0
1,普通税,村民税,法人,1987.0,,1987.0,,100.0,
2,普通税,村民税,計,16508.0,201.0,16081.0,0.0,92.4,0.0
3,普通税,固定資産税,純固定資産税,90702.0,,90467.0,0.0,99.7,
4,普通税,固定資産税,交付金,711.0,,711.0,,100.0,
5,普通税,固定資産税,計,91413.0,,91178.0,,100.0,100.0
6,普通税,軽自動車税,,581.0,13.0,560.0,,96.4,90.0
7,普通税,たばこ税,,2119.0,,2119.0,,100.0,
8,普通税,特別土地保有税,,,,,,,
9,普通税,入湯税,,,,,,,
10,普通税,合計,,110621.0,214.0,109938.0,,99.4,0.0
11,国民健康保険税,,,6482.0,93.0,6482.0,0.0,100.0,0.0
