,罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,盗難防止装置の有無,現金以外の主な被害品
0,窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽３丁目,2018-03-25,23,道路上,キーあり,なし,原動機付自転車（50cc以下）
1,窃盗,オートバイ盗,深川,東陽交番,131083,東京都,江東区,東陽５丁目,2017-10-01,17,４階建て以上共同住宅,キーあり,なし,自動二輪（50cc超）
2,窃盗,オートバイ盗,深川,千田交番,131083,東京都,江東区,扇橋３丁目,2018-12-16,11,４階建て以上共同住宅,キーあり,なし,原動機付自転車（50cc以下）
3,窃盗,オートバイ盗,深川,豊洲交番,131083,東京都,江東区,豊洲５丁目,2018-08-07,17,道路上,キーあり,なし,原動機付自転車（50cc以下）
4,窃盗,オートバイ盗,深川,枝川交番,131083,東京都,江東区,枝川１丁目,2018-01-01,03,道路上,キーあり,なし,原動機付自転車（50cc以下）
5,窃盗,オートバイ盗,丸の内,有楽町駅前交番,131016,東京都,千代田区,大手町１丁目,2018-11-16,07,駐車（輪）場,キーあり,あり,自動二輪（50cc超）
6,窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-04-11,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
7,窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-08-07,07,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
8,窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-09-04,08,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
9,窃盗,オートバイ盗,丸の内,和田倉門外交番,131016,東京都,千代田区,大手町１丁目,2018-12-06,08,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
10,窃盗,オートバイ盗,神田,お茶の水交番,131016,東京都,千代田区,神田駿河台４丁目,2018-01-29,06,駐車（輪）場,キーあり,なし,原動機付自転車（50cc以下）
11,窃盗,オートバイ盗,万世橋,岩本町交番,131016,東京都,千代田区,神田東松下町,2018-05-27,16,道路上,キーあり,なし,自動二輪（50cc超）
12,窃盗,オートバイ盗,万世橋,秋葉原交番,131016,東京都,千代田区,神田練塀町,2018-02-03,17,駐車（輪）場,キーあり,なし,自動二輪（50cc超）
13,窃盗,オートバイ盗,万世橋,秋葉原交番,131016,東京都,千代田区,外神田２丁目,2018-03-29,20,道路上,キーあり,あり,原動機付自転車（50cc以下）
14,窃盗,オートバイ盗,築地,銀座八丁目交番,131024,東京都,中央区,銀座７丁目,2018-11-21,22,道路上,キーあり,なし,原動機付自転車（50cc以下）
15,窃盗,オートバイ盗,月島,勝どき橋交番,131024,東京都,中央区,勝どき６丁目,2014-12-01,10,道路上,キーあり,あり,原動機付自転車（50cc以下）
