,科目,01決算額（千円）,01構成比（％）,30決算額（千円）,30構成比（％）,対前年度増減額01（千円）,増減率01（％）
0,議会費,15129,1.0,13957,0.9,1172,8.4
1,総務費,853624,55.5,990323,63.1,-136699,-13.8
2,民生費,95943,6.2,91646,5.8,4297,4.7
3,衛生費,102287,6.7,100715,6.4,1572,1.6
4,労働費,0,0.0,0,0.0,0,
5,農林水産業費,95934,6.2,50370,3.2,45564,90.5
6,商工費,70475,4.6,64201,4.1,6274,9.8
7,土木費,179383,11.7,136818,8.7,42565,31.1
8,消防費,9091,0.6,6409,0.4,2682,41.8
9,教育費,58036,3.8,68060,4.4,-10024,-14.7
10,災害復旧費,0,0.0,0,0.0,0,
11,公債費,56868,3.7,46883,3.0,9985,21.3
12,諸支出金,0,0.0,0,0.0,0,
13,合計,1536770,100.0,1569382,100.0,-32612,-2.1
