,税目１,税目２,税目３,調定額現年課税分（千円）,調定額滞納繰越分（千円）,収入額現年課税分（千円）,収入額滞納繰越分（千円）,収入歩合現年（％）,収入歩合滞納（％）
0,普通税,村民税,個人,150717,16417,148001,5277,98.2,32.1
1,普通税,村民税,法人,13805,516,13789,136,99.9,26.4
2,普通税,村民税,計,164522,16933,161790,5413,98.3,31.7
3,普通税,固定資産税,純固定資産税,109726,29541,106382,6370,97.0,21.6
4,普通税,固定資産税,交付金,21687,0,21687,0,100.0,－
5,普通税,固定資産税,計,131413,29541,128069,6370,97.5,21.6
6,普通税,軽自動車税,,8802,6202,8528,385,96.9,6.2
7,普通税,たばこ税,,33842,0,33842,0,100.0,－
8,普通税,特別土地保有税,,0,0,0,0,－,－
9,普通税,入湯税,,3709,0,3709,0,100.0,－
10,普通税,合計,,342288,52676,335938,12168,98.1,23.1
11,国民健康保険税,,,43399,93565,38050,6270,87.7,6.7
